,Trip,Coordinates,Trail Link,Area,Accessibility,Season,Challenge,Terrain,View,Shade,Water,Circular?,Trail Length,Incline,Inc_Pre,Incline Degree,Decline,Dec_Pre,Decline Degree,KMH,Walking Hours,Required Equipment,Weather,Crowdness,Nearby Attractions,Entry Fee,Distance,Total Score
0,Yagur River,"32.7332204,35.0711382",https://israelhiking.osm.org.il/share/lXiAuFiwSa,Carmel Mountains,Open to All,Winter - Spring,"Very Challenging, with Lots of Obstacles in The Way",Mountainous region with lots of rivers and creeks,Bared Mountains & Dry Rivers,"Half shaded, half exposed to sunlight","Lots of points with dry, dirty pools along the way",Yes,7.47,514,50,7.8357,-514,50,-7.8357,3.0,04:08,"Could be casual clothing, but must have a professional day-trip bagpack, with a hydration pack, small botlle, food and first-aid kit","Clear, an average of 22-25C",Lots of hikers along the trail,"Full of attractions nearby: wineries, viewpoints, food, pubs and resorts",Free of charge,1 drive hour,8.2975
1,Upper Amud River,"32.979411, 35.471878",https://israelhiking.osm.org.il/share/TczugrAuwY,Upper Galilee,Open to All,Spring,"There's Some Challenge, but Most of it is in Average Challenge",Mountainous region with lots of rivers and creeks,"Vivid green mountains, lots of streams, and rocks","Mostly shaded, but could be parts exposed to light","Lots of water, with several entrances, easy access",Yes,9.4,298,50,3.6279,-298,50,-3.6279,3.0,04:25,"Could be a small bag, but packed with 3 liter of water, and food, casual clothing","Clear, an average of 18-20C",Lots of hikers along the trail,"Some attractions along the way, mostly wineries and restaurants",Free of charge,1.5-2 drive hours,8.6125
2,Galim & Kelach Rivers,"32.749301, 35.011814",https://israelhiking.osm.org.il/share/aeDZtdqHok,Carmel Mountains,Open to All,Autumn - Winter,"There's Some Challenge, but Most of it is in Average Challenge",Mountainous region with lots of rivers and creeks,"Green mountains, but no water nearby","Half shaded, half exposed to sunlight","Lots of points with dry, dirty pools along the way",Yes,9.57,332,50,3.969,-332,50,-3.969,3.0,04:34,"Could be casual clothing, but must have a professional day-trip bagpack, with a hydration pack, small botlle, food and first-aid kit","Clear, an average of 22-25C","Some hikers along the way, not really affecting the experience","Full of attractions nearby: wineries, viewpoints, food, pubs and resorts",Free of charge,1 drive hour,8.1025
3,Guvata River,"33.2594686,35.7239914",https://israelhiking.osm.org.il/share/PBmrnPGVwa,Golan Heights - North-East Galilee,Open to All,Winter,"Very Challenging, with Lots of Obstacles in The Way",Mountainous region with lots of rivers and creeks,"Vivid green mountains, lots of streams, and rocks","Mostly shaded, cooled and glimpses of sunshine occasionally","Few points with water along the trail, not an easy access",Yes,9.42,492,50,5.9634,-492,50,-5.9634,3.0,04:52,"Hiking clothing required, with a good pack and trekking poles","Cloudly with light rain, 16-18C","Some hikers along the way, not really affecting the experience","Some attractions along the way, mostly wineries and restaurants",Free of charge,2.5-3 drive hours,8.5475
4,EL-AL River,"32.818654, 35.745320",https://israelhiking.osm.org.il/share/lPUJ1qiCYk,Golan Heights,Open to All,Summer-Autumn,"There's Some Challenge, but Most of it is in Average Challenge",Mountainous region with lots of rivers and creeks,Bared Mountains with lots of flowing rivers,"Most of it exposed to sunlight, occasionally shaded","Lots of water, with several entrances, easy access",Yes,9.03,172,50,2.1816,-172,50,-2.1816,3.5,03:29,"Could be a small bag, but packed with 3 liter of water, and food, casual clothing","Clear, 27-30C",Lots of hikers along the trail,"Some attractions along the way, mostly wineries and restaurants",Free of charge,2.5 drive hours,7.8625
5,Tavor River,"32.651096, 35.465448",https://israelhiking.osm.org.il/share/yFUtDUsTOd,Lower Galilee,Open to All,Winter,"There's Some Challenge, but Most of it is in Average Challenge",Mountainous region with lots of rivers and creeks,"Vivid green mountains, lots of streams, and rocks","Most of it exposed to sunlight, occasionally shaded","Lots of water, with several entrances, easy access",Yes,9.22,206,50,2.5586,-206,50,-2.5586,3.0,04:09,"Could be casual clothing, but must have a professional day-trip bagpack, with a hydration pack, small botlle, food and first-aid kit","Clear, an average of 22-25C","Many families along the way, but there's still enough room for all","Some attractions along the way, mostly wineries and restaurants",Free of charge,1.5-2 drive hours,8.085
6,Meron Mount,"32.9980993,35.4148622",https://israelhiking.osm.org.il/share/IjPpohj6Jl,Upper Galilee,"Open Most of The Time, with Some Exceptions",Winter - Spring,"Very Challenging, with Lots of Obstacles in The Way",Mountainous region with lots of rivers and creeks,"Snowy mountains, lucious springs and rivers, lots of meadows and green","Half shaded, half exposed to sunlight","Few points with water along the trail, not an easy access",Yes,14.78,568,50,4.3951,-568,50,-4.3951,3.5,06:20,"Hiking clothing required, with a good pack and trekking poles","Cloudly with light rain, 16-18C","Some hikers along the way, not really affecting the experience","Some attractions along the way, mostly wineries and restaurants",Free of charge,2.5 drive hours,7.9675
7,Kziv River & Monfourt Viewpoint,"33.046194, 35.228641",https://israelhiking.osm.org.il/share/Gmm8YoZ1NY,Western Galilee,Open to All,Autumn,"There's Some Challenge, but Most of it is in Average Challenge","Mostly rivers, with some steep hills","Vivid green mountains, lots of streams, and rocks","Mostly shaded, cooled and glimpses of sunshine occasionally","Lots of water, with several entrances, easy access",Yes,11.42,500,50,5.0044,-500,50,-5.0044,3.0,05:41,"Could be casual clothing, but must have a professional day-trip bagpack, with a hydration pack, small botlle, food and first-aid kit","Clear, an average of 22-25C",Lots of hikers along the trail,"Full of attractions nearby: wineries, viewpoints, food, pubs and resorts",Free of charge,2.5-3 drive hours,8.245
8,Karbolet Mountain,"30.9046497,35.0002241",https://israelhiking.osm.org.il/share/hUBlqmI4kX,South Negev Mountains,Open to All,Winter,"Very Challenging, with Lots of Obstacles in The Way",Mountainous region with lots of rivers and creeks,Bared Mountains & Dry Rivers,"Most of it exposed to sunlight, occasionally shaded",,Yes,20.2,719,50,4.0719,-719,50,-4.0719,4.0,07:39,"Hiking clothing, a fully load day-trip backpack, with 6 liter of water, kooking kit, food, first-aid kit","Clear, an average of 18-20C",Not crowded at all,One restaurant & hostel 50KM from the trail,Free of charge,2.5 drive hours,6.9375
9,Meron Mount - Summer,"32.9980993,35.4148622",https://israelhiking.osm.org.il/share/IjPpohj6Jl,Upper Galilee,Open to All,Summer,"Very Challenging, with Lots of Obstacles in The Way",Mountainous region with lots of rivers and creeks,Bared Mountains & Dry Rivers,"Most of it exposed to sunlight, occasionally shaded",,Yes,14.78,500,50,3.8707,-500,50,-3.8707,3.5,06:11,"Hiking clothing required, with a good pack and trekking poles","Clear, 27-30C",Not crowded at all,"Some attractions along the way, mostly wineries and restaurants",Free of charge,2.5 drive hours,7.3825
